ID,Name,Description,Ontological Scope,Field,Collection_Turtle,Authors,Users,Funders
[COL.12] Destruction,Destruction,"This collection of fields enables the documentation of the parameters involved in the destruction of a physical thing - e.g. artwork or built work - such as the time it occurred,  where it happened, who carried out the production and so on.",E18 Physical Thing,"fie_62_Destruction Date - Earliest,fie_63_Destruction Date - Latest,fie_64_Destruction Location,fie_65_Destruction period","<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P13i_was_destroyed_by <https://example.org/event/fie_62_1> .
<https://example.org/event/fie_62_1> a crm:E6_Destruction;
crm:P4_has_time-span <https://example.org/time_span/fie_62_2> .
<https://example.org/time_span/fie_62_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P13i_was_destroyed_by <https://example.org/event/fie_62_1> .
<https://example.org/event/fie_62_1> a crm:E6_Destruction;
crm:P4_has_time-span <https://example.org/time_span/fie_62_2> .
<https://example.org/time_span/fie_62_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P13i_was_destroyed_by <https://example.org/event/fie_62_1> .
<https://example.org/event/fie_62_1> a crm:E6_Destruction;
crm:P7_took_place_at <https://example.org/place/fie_64_1> . <https://example.org/place/fie_64_1> a crm:E53_Place .<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P13i_was_destroyed_by <https://example.org/event/fie_62_1> .
<https://example.org/event/fie_62_1> a crm:E6_Destruction;
crm:P10_falls_within <https://example.org/event/fie_65_1> . <https://example.org/event/fie_65_1> a crm:E4_Period .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.13] Digital Creation,Digital Creation,This collection of fields enables the documentation of information describing the various parameters involved in the creation of a digital object. ,D1 Digital Object,"fie_66_Creation Date - Early,fie_67_Creation Date - Late","<http://www.srdm.org/conceptual_object/D1> a <http://www.ics.forth.gr/isl/CRMdig/D1_Digital_Object>;
crmdig:L11i_was_output_of <https://example.org/event/fie_66_1> .
<https://example.org/event/fie_66_1> a crmdig:D7_Digital_Machine_Event;
crm:P2_has_type <https://example.org/type/fie_66_3> ;
crm:P4_has_time-span <https://example.org/time_span/fie_66_2> .
<https://example.org/type/fie_66_3> a crm:E55_Type;
rdfs:label ""Creation"" .
<https://example.org/time_span/fie_66_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<http://www.srdm.org/conceptual_object/D1> a <http://www.ics.forth.gr/isl/CRMdig/D1_Digital_Object>;
crmdig:L11i_was_output_of <https://example.org/event/fie_66_1> .
<https://example.org/event/fie_66_1> a crmdig:D7_Digital_Machine_Event;
crm:P2_has_type <https://example.org/type/fie_66_3> ;
crm:P4_has_time-span <https://example.org/time_span/fie_66_2> .
<https://example.org/type/fie_66_3> a crm:E55_Type;
rdfs:label ""Creation"" .
<https://example.org/time_span/fie_66_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.14] Modification,Modification,This collection of fields enables the documentation of a modification event that has occurred to a physical object.,D1 Digital Object,"fie_68_Modification Date - Early,fie_69_Modification Date - Late","<http://www.srdm.org/conceptual_object/D1> a <http://www.ics.forth.gr/isl/CRMdig/D1_Digital_Object>;
crmdig:L11i_was_output_of <https://example.org/event/fie_68_1> .
<https://example.org/event/fie_68_1> a crmdig:D7_Digital_Machine_Event;
crm:P2_has_type <https://example.org/type/fie_68_3> ;
crm:P4_has_time-span <https://example.org/time_span/fie_68_2> .
<https://example.org/type/fie_68_3> a crm:E55_Type;
rdfs:label ""Modification"" .
<https://example.org/time_span/fie_68_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/conceptual_object/D1> a <http://www.ics.forth.gr/isl/CRMdig/D1_Digital_Object>;
crmdig:L11i_was_output_of <https://example.org/event/fie_68_1> .
<https://example.org/event/fie_68_1> a crmdig:D7_Digital_Machine_Event;
crm:P2_has_type <https://example.org/type/fie_68_23> ;
crm:P4_has_time-span <https://example.org/time_span/fie_68_2> .
<https://example.org/type/fie_68_23> a crm:E55_Type;
rdfs:label ""Modification"" .
<https://example.org/time_span/fie_68_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.15] Publication,Publication,"This collection of fields enables the documentation of the parameters involved in the publication of an information object - e.g. textual work or visual work - such as the time it occurred,  where it happened, who carried out the production and so on.",F24 Publication Expression,"fie_70_Publication Date - Earliest,fie_71_Publication Date - Latest,fie_72_Publication Location","<http://www.srdm.org/conceptual_object/F24> a <http://iflastandards.info/ns/fr/frbr/frbroo/F24_Publication_Expression>;
frbroo:R24i_was_created_through <https://example.org/event/fie_70_1> .
<https://example.org/event/fie_70_1> a frbroo:F30_Publication_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_70_2> .
<https://example.org/time_span/fie_70_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/conceptual_object/F24> a <http://iflastandards.info/ns/fr/frbr/frbroo/F24_Publication_Expression>;
frbroo:R24i_was_created_through <https://example.org/event/fie_70_1> .
<https://example.org/event/fie_70_1> a frbroo:F30_Publication_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_70_2> .
<https://example.org/time_span/fie_70_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/conceptual_object/F24> a <http://iflastandards.info/ns/fr/frbr/frbroo/F24_Publication_Expression>;
frbroo:R24i_was_created_through <https://example.org/event/fie_70_1> .
<https://example.org/event/fie_70_1> a frbroo:F30_Publication_Event;
crm:P7_took_place_at <https://example.org/place/fie_72_1> . <https://example.org/place/fie_72_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.16] Birth,Birth,"This collection of fields enables the documentation of the parameters involved in the birth of an individual such as the time it occurred,  where it happened and so on.",E21 Person,"fie_73_Birth Date - Earliest,fie_74_Birth Date - Latest,fie_75_Birth Location","<http://www.srdm.org/actor/E21> a <http://www.cidoc-crm.org/cidoc-crm/E21_Person>;
crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P4_has_time-span <https://example.org/time_span/fie_73_2> .
<https://example.org/time_span/fie_73_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/actor/E21> a <http://www.cidoc-crm.org/cidoc-crm/E21_Person>;
crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P4_has_time-span <https://example.org/time_span/fie_73_2> .
<https://example.org/time_span/fie_73_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/actor/E21> a <http://www.cidoc-crm.org/cidoc-crm/E21_Person>;
crm:P98i_was_born
<https://example.org/event/fie_73_1> .
<https://example.org/event/fie_73_1> a 
crm:E67_Birth;
crm:P7_took_place_at <https://example.org/place/fie_75_1> . <https://example.org/place/fie_75_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.17] Death,Death,"This collection of fields enables the documentation of the parameters involved in the death of an individual such as the time it occurred,  where it happened and so on.",E21 Person,"fie_76_Death Date - Earliest,fie_77_Death Date - Latest,fie_78_Death Location","<http://www.srdm.org/actor/E21> a <http://www.cidoc-crm.org/cidoc-crm/E21_Person>;
crm:P100i_died_in
<https://example.org/event/fie_76_1> .
<https://example.org/event/fie_76_1> a 
crm:E69_Death;
crm:P4_has_time-span <https://example.org/time_span/fie_76_2> .
<https://example.org/time_span/fie_76_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/actor/E21> a <http://www.cidoc-crm.org/cidoc-crm/E21_Person>;
crm:P100i_died_in
<https://example.org/event/fie_76_1> .
<https://example.org/event/fie_76_1> a 
crm:E69_Death;
crm:P4_has_time-span <https://example.org/time_span/fie_76_2> .
<https://example.org/time_span/fie_76_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/actor/E21> a <http://www.cidoc-crm.org/cidoc-crm/E21_Person>;
crm:P100i_died_in
<https://example.org/event/fie_76_1> .
<https://example.org/event/fie_76_1> a 
crm:E69_Death;
crm:P7_took_place_at <https://example.org/place/fie_78_1> . <https://example.org/place/fie_78_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.18] Formation,Formation,"This collection of fields enables the documentation of the parameters involved in the event of formation of a group such as the time it occurred, who was involved and so on.",E74 Group,"fie_79_Formation Date - Earliest,fie_80_Formation Date - Latest,fie_81_Formation Location,fie_82_Formed from","<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P4_has_time-span <https://example.org/time_span/fie_79_2> .
<https://example.org/time_span/fie_79_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P4_has_time-span <https://example.org/time_span/fie_79_2> .
<https://example.org/time_span/fie_79_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P7_took_place_at <https://example.org/place/fie_81_1> . <https://example.org/place/fie_81_1> a crm:E53_Place .<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P95i_was_formed_by
<https://example.org/event/fie_79_1> .
<https://example.org/event/fie_79_1> a 
crm:E66_Formation;
crm:P151_was_formed_from <https://example.org/actor/fie_82_1> .
<https://example.org/actor/fie_82_1> a crm:E39_Actor .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.19] Dissolution,Dissolution,"This collection of fields enables the documentation of the parameters involved in the event of dissolution of a group such as the time it occurred, who was involved and so on.",E74 Group,"fie_83_Dissolution Date - Earliest,fie_84_Dissolution Date - Latest,fie_85_Dissolution Location","<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P99i_was_dissolved_by
<https://example.org/event/fie_83_1> .
<https://example.org/event/fie_83_1> a 
crm:E68_Dissolution;
crm:P4_has_time-span <https://example.org/time_span/fie_83_2> .
<https://example.org/time_span/fie_83_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P99i_was_dissolved_by
<https://example.org/event/fie_83_1> .
<https://example.org/event/fie_83_1> a 
crm:E68_Dissolution;
crm:P4_has_time-span <https://example.org/time_span/fie_83_2> .
<https://example.org/time_span/fie_83_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/actor/E74> a <http://www.cidoc-crm.org/cidoc-crm/E74_Group>;
crm:P99i_was_dissolved_by
<https://example.org/event/fie_83_1> .
<https://example.org/event/fie_83_1> a 
crm:E68_Dissolution;
crm:P7_took_place_at <https://example.org/place/fie_85_1> . <https://example.org/place/fie_85_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.20] Dimension,Dimension,"This collection of fields enables the documentation of dimension information attributed to an entity. In particular, it allows the analytic description of measurement information relative to a documented entity.",E1 CRM Entity,"fie_86_Dimension Type,fie_87_Dimension Value,fie_88_Dimension Unit,fie_89_Dimension Taker","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P40_observed_dimension <https://example.org/dimension/fie_86_2> . <https://example.org/dimension/fie_86_2> a crm:E54_Dimension ;
crm:P2_has_type
<https://example.org/type/fie_86_3> .
<https://example.org/type/fie_86_3> a crm:E55_Type .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P40_observed_dimension <https://example.org/dimension/fie_86_2> . <https://example.org/dimension/fie_86_2> a crm:E54_Dimension ;
crm:P90_has_value ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P40_observed_dimension <https://example.org/dimension/fie_86_2> . <https://example.org/dimension/fie_86_2> a crm:E54_Dimension ;
crm:P91_has_unit <https://example.org/type/fie_88_1> .
<https://example.org/type/fie_88_1> a crm:E58_Measurement_Unit .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P39i_was_measured_by
<https://example.org/event/fie_86_1> .
<https://example.org/event/fie_86_1> a 
crm:E16_Measurement;
crm:P14_carried_out_by <https://example.org/actor/fie_89_1> . <https://example.org/actor/fie_89_1> a crm:E39_Actor .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.21] Function,Function,This collection of fields enables the documentation of a funtion attributed to an entity.,E24 Physical Human-Made Thing,"fie_104_Use Period - Type,fie_105_Use Period - Start,fie_106_Use Period - End","<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P12i_was_present_at
<https://example.org/event/fie_104_1> .
<https://example.org/event/fie_104_1> a 
crm:E5_Event;
crm:P2_has_type <https://example.org/type/fie_104_2> .
<https://example.org/type/fie_104_2> a crm:E55_Type .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P12i_was_present_at
<https://example.org/event/fie_104_1> .
<https://example.org/event/fie_104_1> a 
crm:E5_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_105_1> .
<https://example.org/time_span/fie_105_1> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P12i_was_present_at
<https://example.org/event/fie_104_1> .
<https://example.org/event/fie_104_1> a 
crm:E5_Event;
crm:P4_has_time-span <https://example.org/time_span/fie_105_1> .
<https://example.org/time_span/fie_105_1> a crm:E52_Time-Span;
crm:P82a_end_of_the_end """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.22] Conservation,Conservation,This collection of fields enables the documentation of a conservation event that has occurred to a archival holding.,E24 Physical Human-Made Thing,"fie_107_Conservation Event - Type,fie_108_Conservation Event - Earliest,fie_109_Conservation Event - Latest,fie_110_Conservation Event - technique,fie_111_Conservator,fie_112_Conservation Event Description","<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P2_has_type <https://example.org/type/fie_107_2> .
<https://example.org/type/fie_107_2> a crm:E55_Type .
<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P4_has_time-span <https://example.org/time_span/fie_108_1> .
<https://example.org/time_span/fie_108_1> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P4_has_time-span <https://example.org/time_span/fie_108_1> .
<https://example.org/time_span/fie_108_1> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P32_used_general_technique <https://example.org/type/fie_110_1> .
<https://example.org/type/fie_110_1> a crm:E55_Type .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P14_carried_out_by <https://example.org/actor/fie_111_1> .
<https://example.org/actor/fie_111_1> a crm:E21_Person .
<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P31i_was_modified_by
<https://example.org/event/fie_107_1> .
<https://example.org/event/fie_107_1> a 
crm:E11_Modification;
crm:P119i_is_subject_of <https://example.org/conceptual_Object/fie_112_1> .
<https://example.org/conceptual_Object/fie_112_1> a crm:E73_Linguistic_Object .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.23] Provenance,Provenance,This collection of fields enables the documentation of an objects past ownership.,E24 Physical Human-Made Thing,"fie_113_Past Ownership Period Statement - Earliest date of taking of Possession,fie_114_Past Ownership Period Statement - Latest Date of taking of Possession,fie_115_Past Ownership Period Statement - Actor Obtaining Ownership,fie_116_Past Ownership Period Statement - Earliest Ceding of Possession,fie_117_Past Ownership Period Statement - Latest Ceding of Possession,fie_118_Past Ownership Period Statement - Actor Ceding Ownership,fie_119_Past Ownership Description","<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_113_2> .
<https://example.org/time_span/fie_113_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_113_2> .
<https://example.org/time_span/fie_113_2> a crm:E52_Time-Span;
crm:P82a_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P22_transferred_title_to <https://example.org/actor/fie_115_1> .
<https://example.org/actor/fie_115_1> a crm:E39_Actor .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P115i_is_finished_by
<https://example.org/event/fie_116_1> .
<https://example.org/event/fie_116_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_116_2> .
<https://example.org/time_span/fie_116_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P115i_is_finished_by
<https://example.org/event/fie_116_1> .
<https://example.org/event/fie_116_1> a 
crm:E8_Acquisition;
crm:P4_has_time-span <https://example.org/time_span/fie_116_2> .
<https://example.org/time_span/fie_116_2> a crm:E52_Time-Span;
crm:P82a_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_116_1> .
<https://example.org/event/fie_116_1> a 
crm:E8_Acquisition;
crm:P23_transferred_title_from <https://example.org/actor/fie_118_1> .
<https://example.org/actor/fie_118_1> a crm:E39_Actor .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P24i_changed_ownership_through
<https://example.org/event/fie_113_1> .
<https://example.org/event/fie_113_1> a 
crm:E8_Acquisition;
crm:P129i_is_subject_of <https://example.org/conceptual_object/fie_119_1> .
<https://example.org/conceptual_object/fie_119_1> a crm:E33_Linguistic_Object .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.25] Floruit,Floruit,"This collection of fields enables the documentation of the parameters involved in the flourishing of a person or group such as the time of its occurrence, its place and so on.",E39 Actor,"fie_121_Floruit - Earliest date,fie_122_Floruit - Latest date,fie_123_Floruit Location","<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_121_1> .
<https://example.org/event/fie_121_1> a 
frbroo:F51_Pursuit;
crm:P2_has_type
<https://example.org/type/fie_121_2> ;
crm:P4_has_time-span <https://example.org/time_span/fie_121_3> .
<https://example.org/type/fie_121_2> a crm:E55_Type ;
rdfs:label ""Floruit"" . 
<https://example.org/time_span/fie_121_3> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_121_1> .
<https://example.org/event/fie_121_1> a 
frbroo:F51_Pursuit;
crm:P2_has_type
<https://example.org/type/fie_121_2> ;
crm:P4_has_time-span <https://example.org/time_span/fie_121_3> .<https://example.org/type/fie_121_2> a crm:E55_Type ;
rdfs:label ""Floruit"" . 
<https://example.org/time_span/fie_121_3> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_121_1> .
<https://example.org/event/fie_121_1> a 
frbroo:F51_Pursuit;
crm:P2_has_type
<https://example.org/type/fie_121_2> ;
crm:P7_took_place_at <https://example.org/place/fie_123_1> .<https://example.org/type/fie_121_2> a crm:E55_Type ;
rdfs:label ""Floruit"" . 
<https://example.org/place/fie_123_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.26] Professional / Commercial Activity,Professional / Commercial Activity,"This collection of fields enables the documentation of the parameters involved in the professional activity of a person or group such as the time of its occurrence, its kind and so on.",E39 Actor,"fie_124_Field of Activity,fie_125_Period of Activity - Earliest,fie_126_Period of Activity - Latest,fie_127_Activity Location","<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_124_1> .
<https://example.org/event/fie_124_1> a 
frbroo:F51_Pursuit;
crm:P2_has_type
<https://example.org/type/fie_124_2> ;
frbroo:R59_had_typical_subject <https://example.org/type/fie_124_3> .<https://example.org/type/fie_124_2> a crm:E55_Type ;
rdfs:label ""Field of Activity"" . 
<https://example.org/type/fie_124_3> a crm:E55_Type .<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_124_1> .
<https://example.org/event/fie_124_1> a 
frbroo:F51_Pursuit;
crm:P4_has_time-span <https://example.org/time_span/fie_125_1> .<https://example.org/time_span/fie_125_1> a crm:E52_Time-Span ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_124_1> .
<https://example.org/event/fie_124_1> a 
frbroo:F51_Pursuit;
crm:P4_has_time-span <https://example.org/time_span/fie_125_1> .<https://example.org/time_span/fie_125_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/actor/E39> a <http://www.cidoc-crm.org/cidoc-crm/E39_Actor>;
crm:P14i_performed
<https://example.org/event/fie_124_1> .
<https://example.org/event/fie_124_1> a 
frbroo:F51_Pursuit;
crm:P7_took_place_at
<https://example.org/place/fie_127_1> .
<https://example.org/place/fie_127_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.27] Participant,Participant,This collection of fields enables the documentation of the participants in an event.,E7 Activity,"fie_129_Participant,fie_130_Participant Role","<http://www.srdm.org/event/E7> a <http://www.cidoc-crm.org/cidoc-crm/E7_Activity>;
crm:P01i_is_domain_of <https://example.org/property/fie_129_1> .
<https://example.org/property/fie_129_1> a crm:PC14_carried_out_by;
crm:P02_has_range <https://example.org/actor/fie_129_2> .
<https://example.org/actor/fie_129_2> a crm:E39_Actor .<http://www.srdm.org/event/E7> a <http://www.cidoc-crm.org/cidoc-crm/E7_Activity>;
crm:P01i_is_domain_of <https://example.org/property/fie_129_1> .
<https://example.org/property/fie_129_1> a crm:PC14_carried_out_by;
crm:P14.1_in_the_role_of <https://example.org/type/fie_130_1> .
<https://example.org/type/fie_130_1> a crm:E55_Type .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
